# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.992975980151e+04       1.810050113893e-06       2.239711283930e+01       9.227083545811e+02       1.454535229524e+04       7.297941694195e-01       2.898999228249e+08       1.282568058440e+01       4.341846772527e+05       1.940814743604e+04       9.744243086354e+04       3.601553394783e-08       3.003554520615e+05       8.513907076138e+05       3.263357030904e-04       2.203349192676e-01 
       1.979118125667e+04       1.834880134580e-06       2.254831480677e+01       9.103588756040e+02       1.454520109328e+04       7.348963161084e-01       2.878812564529e+08       1.291154468661e+01       4.222344945241e+05       1.900612126031e+04       9.542397918167e+04       3.601553394783e-08       2.920886874248e+05       8.287532823909e+05       3.268389105943e-04       2.213293500570e-01 
       1.965356605022e+04       1.860046987150e-06       2.270050233688e+01       8.981772658093e+02       1.454504890575e+04       7.400340902253e-01       2.858766244217e+08       1.299795862130e+01       4.106132033694e+05       1.861242221252e+04       9.344733548749e+04       3.601553394783e-08       2.840494397471e+05       8.067224008166e+05       3.273451711541e-04       2.223282733122e-01 
       1.951690748583e+04       1.885555167505e-06       2.285368141142e+01       8.861612221942e+02       1.454489572667e+04       7.452077399810e-01       2.838859291842e+08       1.308492559110e+01       3.993117524462e+05       1.822687782257e+04       9.151163386083e+04       3.601553394783e-08       2.762314475912e+05       7.852817117208e+05       3.278545068403e-04       2.233316939546e-01 
       1.938119891371e+04       1.911409230164e-06       2.300785804315e+01       8.743084735062e+02       1.454474155004e+04       7.504175153084e-01       2.819090738714e+08       1.317244881338e+01       3.883213395032e+05       1.784931919240e+04       8.961602631567e+04       3.601553394783e-08       2.686286218334e+05       7.644153068447e+05       3.283669398815e-04       2.243396167282e-01 
       1.924643373031e+04       1.937613789009e-06       2.316303827588e+01       8.626167798037e+02       1.454458636981e+04       7.556636678739e-01       2.799459622877e+08       1.326053152021e+01       3.776334045260e+05       1.747958092200e+04       8.775968242865e+04       3.601553394783e-08       2.612350409222e+05       7.441077087989e+05       3.288824926650e-04       2.253520461972e-01 
       1.911260537798e+04       1.964173518031e-06       2.331922818461e+01       8.510839320239e+02       1.454443017990e+04       7.609464510896e-01       2.779964989061e+08       1.334917695845e+01       3.672396230707e+05       1.711750103698e+04       8.594178897544e+04       3.601553394783e-08       2.540449462662e+05       7.243438593493e+05       3.294011877383e-04       2.263689867442e-01 
       1.897970734463e+04       1.991093152087e-06       2.347643387563e+01       8.397077515560e+02       1.454427297421e+04       7.662661201254e-01       2.760605888639e+08       1.343838838970e+01       3.571318997812e+05       1.676292091762e+04       8.416154957442e+04       3.601553394783e-08       2.470527377499e+05       7.051091080232e+05       3.299230478100e-04       2.273904425684e-01 
       1.884773316348e+04       2.018377487665e-06       2.363466148656e+01       8.284860898199e+02       1.454411474660e+04       7.716229319207e-01       2.741381379577e+08       1.352816909037e+01       3.473023620850e+05       1.641568522939e+04       8.241818433796e+04       3.601553394783e-08       2.402529693726e+05       6.863892010250e+05       3.304480957510e-04       2.284164176835e-01 
       1.871667641268e+04       2.046031383659e-06       2.379391718653e+01       8.174168278517e+02       1.454395549090e+04       7.770171451969e-01       2.722290526390e+08       1.361852235166e+01       3.377433540623e+05       1.607564185490e+04       8.071092953075e+04       3.601553394783e-08       2.336403450072e+05       6.681702704552e+05       3.309763545958e-04       2.294469159158e-01 
       1.858653071501e+04       2.074059762156e-06       2.395420717619e+01       8.064978758944e+02       1.454379520091e+04       7.824490204698e-01       2.703332400096e+08       1.370945147961e+01       3.284474304839e+05       1.574264182730e+04       7.903903723531e+04       3.601553394783e-08       2.272097142756e+05       6.504388238221e+05       3.315078475432e-04       2.304819409021e-01 
       1.845728973760e+04       2.102467609227e-06       2.411553768789e+01       7.957271729939e+02       1.454363387040e+04       7.879188200613e-01       2.684506078173e+08       1.380095979508e+01       3.194073510132e+05       1.541653926500e+04       7.740177502438e+04       3.601553394783e-08       2.209560685382e+05       6.331817338408e+05       3.320425979582e-04       2.315214960881e-01 
       1.832894719159e+04       2.131259975732e-06       2.427791498573e+01       7.851026866014e+02       1.454347149310e+04       7.934268081126e-01       2.665810644509e+08       1.389305063380e+01       3.106160745675e+05       1.509719130780e+04       7.579842564014e+04       3.601553394783e-08       2.148745369933e+05       6.163862285088e+05       3.325806293723e-04       2.325655847263e-01 
