# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       4.714544383686e-10       1.425033117693e-13      -5.179487820677e-12       7.350574580893e-16       5.649012484284e-12       8.625872704235e-13      -5.386770854595e-15 
  130       4.758922203922e-10       1.433005731829e-13      -5.241707248919e-12       7.470404495574e-16       5.528960373103e-12       8.482754667532e-13      -5.321276549859e-15 
  131       4.803327725294e-10       1.440389874871e-13      -5.302108787698e-12       7.591430590050e-16       5.411966819510e-12       8.342263281651e-13      -5.252880740844e-15 
  132       4.847753006917e-10       1.447179047240e-13      -5.360629880413e-12       7.713662687283e-16       5.298030194816e-12       8.204468769350e-13      -5.181927114554e-15 
  133       4.892189513212e-10       1.453367331351e-13      -5.417208477568e-12       7.837110790876e-16       5.187134939552e-12       8.069430459525e-13      -5.108781202046e-15 
  134       4.936628098168e-10       1.458949406781e-13      -5.471783070815e-12       7.961785086666e-16       5.079251187164e-12       7.937196450467e-13      -5.033830775454e-15 
  135       4.981058989612e-10       1.463920565432e-13      -5.524292726998e-12       8.087695944299e-16       4.974334387710e-12       7.807803273132e-13      -4.957486245008e-15 
  136       5.025471773480e-10       1.468276726695e-13      -5.574677122204e-12       8.214853918814e-16       4.872324931557e-12       7.681275554403e-13      -4.880181056061e-15 
  137       5.069855378084e-10       1.472014452618e-13      -5.622876575799e-12       8.343269752228e-16       4.773147773080e-12       7.557625680355e-13      -4.802372086111e-15 
  138       5.114198058383e-10       1.475130963069e-13      -5.668832084483e-12       8.472954375115e-16       4.676712054356e-12       7.436853459523e-13      -4.724540041824e-15 
  139       5.158487380249e-10       1.477624150904e-13      -5.712485356328e-12       8.603918908190e-16       4.582910728861e-12       7.318945786162e-13      -4.647189856059e-15 
  140       5.202710204737e-10       1.479492597128e-13      -5.753778844825e-12       8.736174663893e-16       4.491620185172e-12       7.203876303515e-13      -4.570851084890e-15 
  141       5.246852672354e-10       1.480735586064e-13      -5.792655782933e-12       8.869733147967e-16       4.402699870659e-12       7.091605067077e-13      -4.496078304628e-15 
  142       5.290900187330e-10       1.481353120517e-13      -5.829060217118e-12       9.004606061044e-16       4.315991915181e-12       6.982078207860e-13      -4.423451508848e-15 
  143       5.334837401882e-10       1.481345936940e-13      -5.862937041403e-12       9.140805300226e-16       4.231320754788e-12       6.875227595657e-13      -4.353576505408e-15 
  144       5.378649505720e-10       1.480715662220e-13      -5.894232404774e-12       9.278341857579e-16       4.148529976473e-12       6.770983754847e-13      -4.286950602281e-15 
  145       5.422326271031e-10       1.479465269451e-13      -5.922894906816e-12       9.417222389880e-16       4.067597740713e-12       6.669316757784e-13      -4.223543903076e-15 
  146       5.465858378231e-10       1.477598696134e-13      -5.948874585216e-12       9.557452312129e-16       3.988532075683e-12       6.570198741600e-13      -4.163177295419e-15 
  147       5.509236138377e-10       1.475120722426e-13      -5.972122588858e-12       9.699036865553e-16       3.911334517034e-12       6.473590759410e-13      -4.105653081695e-15 
  148       5.552449484943e-10       1.472036987117e-13      -5.992591214012e-12       9.841981112849e-16       3.835999945505e-12       6.379442519740e-13      -4.050754601879e-15 
  149       5.595487965585e-10       1.468354003612e-13      -6.010233940524e-12       9.986289933426e-16       3.762516424531e-12       6.287692125960e-13      -3.998245856347e-15 
  150       5.638340733916e-10       1.464079175908e-13      -6.025005468010e-12       1.013196801865e-15       3.690865037857e-12       6.198265815707e-13      -3.947871128703e-15 
  151       5.680996541273e-10       1.459220814575e-13      -6.036861752044e-12       1.027901986709e-15       3.621019727145e-12       6.111077700321e-13      -3.899354608601e-15 
  152       5.723443728490e-10       1.453788152734e-13      -6.045760040348e-12       1.042744977975e-15       3.552947129592e-12       6.026029504265e-13      -3.852400014560e-15 
  153       5.765670217664e-10       1.447791362037e-13      -6.051658908989e-12       1.057726185533e-15       3.486606415534e-12       5.943010304562e-13      -3.806690216791e-15 
  154       5.807663503928e-10       1.441241568643e-13      -6.054518298562e-12       1.072845998543e-15       3.421949126063e-12       5.861896270221e-13      -3.761886860015e-15 
  155       5.849410647223e-10       1.434150869204e-13      -6.054299550387e-12       1.088104784985e-15       3.358919010634e-12       5.782550401662e-13      -3.717629986286e-15 
  156       5.890898264063e-10       1.426532346836e-13      -6.050965442697e-12       1.103502891180e-15       3.297451864676e-12       5.704822270151e-13      -3.673537657811e-15 
  157       5.932112519311e-10       1.418400087105e-13      -6.044480226829e-12       1.119040641312e-15       3.237475367208e-12       5.628547757225e-13      -3.629205579768e-15 
  158       5.973039117944e-10       1.409769194002e-13      -6.034809663418e-12       1.134718336957e-15       3.178908918444e-12       5.553548794121e-13      -3.584206723134e-15 
  159       6.013663296827e-10       1.400655805924e-13      -6.021921058582e-12       1.150536256605e-15       3.121663477409e-12       5.479633101207e-13      -3.538090947500e-15 
  160       6.053969816481e-10       1.391077111651e-13      -6.005783300119e-12       1.166494655183e-15       3.065641399547e-12       5.406593927408e-13      -3.490384623896e-15 
  161       6.093944042068e-10       1.381051018525e-13      -5.986366907288e-12       1.182593766819e-15       3.010756462618e-12       5.334254633214e-13      -3.440693886051e-15 
  162       6.133575311042e-10       1.370595090444e-13      -5.963644109130e-12       1.198833814400e-15       2.956996275453e-12       5.262607417343e-13      -3.389025437032e-15 
  163       6.172853848970e-10       1.359727546049e-13      -5.937588842271e-12       1.215214999951e-15       2.904365103511e-12       5.191686417163e-13      -3.335493523617e-15 
  164       6.211769703901e-10       1.348467612353e-13      -5.908176773921e-12       1.231737501019e-15       2.852864108024e-12       5.121523914680e-13      -3.280218958239e-15 
  165       6.250312743158e-10       1.336835539112e-13      -5.875385338123e-12       1.248401470211e-15       2.802491276487e-12       5.052150282282e-13      -3.223329218582e-15 
  166       6.288472650113e-10       1.324852613208e-13      -5.839193772008e-12       1.265207034737e-15       2.753241353152e-12       4.983593928488e-13      -3.164958547189e-15 
  167       6.326238920969e-10       1.312541173029e-13      -5.799583152051e-12       1.282154295942e-15       2.705105769528e-12       4.915881243700e-13      -3.105248051064e-15 
  168       6.363600861545e-10       1.299924622846e-13      -5.756536430320e-12       1.299243328851e-15       2.658072574872e-12       4.849036545944e-13      -3.044345801271e-15 
  169       6.400547584053e-10       1.287027447191e-13      -5.710038470733e-12       1.316474181707e-15       2.612126366684e-12       4.783082026627e-13      -2.982406932540e-15 
