# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_scf            18:(.)p_scf              19:(.)w_scf              20:phi_scf               21:phi'_scf              22:V_scf                 23:V'_scf                24:V''_scf               25:gr.fac. D             26:gr.fac. f          
       1.557806341654e+07       2.320351266634e-12       2.216638674508e-02       7.028645609113e+08       1.195665878124e+04       7.675317331813e-04       1.862616007007e+11       1.279763213271e-02       1.620440366614e+17       9.267295325208e+12       5.063530370591e+13       1.461743466675e-08       1.460395521517e-06      -9.000000000000e-01       1.120970233064e+17       4.940185909850e+17       2.198176284182e+17       7.326744072818e+16       3.333101228296e-01      -1.331722172894e+01       6.019272145063e+01       2.198252815351e+17      -6.591447877312e+17       1.976441691143e+18       1.224510937932e-03       6.362448815855e-02 
       1.546977495614e+07       2.352947667171e-12       2.232153249679e-02       6.931271861736e+08       1.195665862609e+04       7.729044467088e-04       1.849668301297e+11       1.288720364676e-02       1.575851058957e+17       9.075375201734e+12       4.958667696009e+13       1.461743466675e-08       1.457342569738e-06      -9.000000000000e-01       1.090124737219e+17       4.804252962130e+17       2.137690545433e+17       7.125172304417e+16       3.333116816014e-01      -1.330791561360e+01       5.977435020069e+01       2.137759972487e+17      -6.410060450942e+17       1.922052780179e+18       1.225054405629e-03       6.359750186404e-02 
       1.536223924614e+07       2.386001997181e-12       2.247776418699e-02       6.835247086054e+08       1.195665846986e+04       7.783147690885e-04       1.836810599551e+11       1.297740210029e-02       1.532488705741e+17       8.887429629213e+12       4.855976664691e+13       1.461743466675e-08       1.454296000151e-06      -9.000000000000e-01       1.060128010284e+17       4.672060272741e+17       2.078869084753e+17       6.929145568517e+16       3.333132239706e-01      -1.329860949566e+01       5.935888552488e+01       2.078931791852e+17      -6.233664504277e+17       1.869160561409e+18       1.225597883956e-03       6.357054869422e-02 
       1.525545105391e+07       2.419520690013e-12       2.263508941724e-02       6.740552595076e+08       1.195665831254e+04       7.837629635806e-04       1.824042276119e+11       1.306823188174e-02       1.490319545119e+17       8.703376297055e+12       4.755412303193e+13       1.461743466675e-08       1.451255799413e-06      -9.000000000000e-01       1.030956696866e+17       4.543504928699e+17       2.021666111720e+17       6.738511342675e+16       3.333147498298e-01      -1.328930337529e+01       5.894630724717e+01       2.021722466179e+17      -6.062122684503e+17       1.817723849675e+18       1.226141372998e-03       6.354362866550e-02 
       1.514940518318e+07       2.453510269394e-12       2.279351584184e-02       6.647169960660e+08       1.195665815411e+04       7.892492952880e-04       1.811362709700e+11       1.315969741025e-02       1.449310744262e+17       8.523134599273e+12       4.656930569447e+13       1.461743466675e-08       1.448221954211e-06      -9.000000000000e-01       1.002588084233e+17       4.418486848590e+17       1.966037095692e+17       6.553121299371e+16       3.333162590742e-01      -1.327999725266e+01       5.853659533154e+01       1.966087448632e+17      -5.895301418199e+17       1.767702593066e+18       1.226684872838e-03       6.351674179473e-02 
       1.504409647382e+07       2.487977350702e-12       2.295305116786e-02       6.555081009925e+08       1.195665799457e+04       7.947740311695e-04       1.798771283315e+11       1.325180313590e-02       1.409430373793e+17       8.346625599185e+12       4.560488333469e+13       1.461743466675e-08       1.445194451258e-06      -9.000000000000e-01       9.750000846378e+16       4.296908704668e+17       1.911938731147e+17       6.372831190641e+16       3.333177516006e-01      -1.327069112793e+01       5.812972988100e+01       1.911983418124e+17      -5.733070807346e+17       1.719057841740e+18       1.227228383562e-03       6.348988809917e-02 
       1.493951980155e+07       2.522928642251e-12       2.311370316056e-02       6.464267821715e+08       1.195665783392e+04       8.003374400522e-04       1.786267384269e+11       1.334455353990e-02       1.370647382932e+17       8.173771994840e+12       4.466043358473e+13       1.461743466675e-08       1.442173277294e-06      -9.000000000000e-01       9.481712181148e+16       4.178675847087e+17       1.859328903984e+17       6.197500735880e+16       3.333192273084e-01      -1.326138500128e+01       5.772569113658e+01       1.859368245593e+17      -5.575304528203e+17       1.671751717599e+18       1.227771905253e-03       6.346306759652e-02 
       1.483567007773e+07       2.558370946596e-12       2.327547963432e-02       6.374712723117e+08       1.195665767214e+04       8.059397926455e-04       1.773850404130e+11       1.343795313482e-02       1.332931575316e+17       8.004498085164e+12       4.373554282371e+13       1.461743466675e-08       1.439158419091e-06      -9.000000000000e-01       9.220805957596e+16       4.063696230228e+17       1.808166658743e+17       6.026993512732e+16       3.333206860988e-01      -1.325207887286e+01       5.732445947642e+01       1.808200961205e+17      -5.421879732967e+17       1.625747384802e+18       1.228315437999e-03       6.343628030492e-02 
       1.473254224909e+07       2.594311161857e-12       2.343838846173e-02       6.286398286017e+08       1.195665750924e+04       8.115813615532e-04       1.761519738693e+11       1.353200646482e-02       1.296253585487e+17       7.838729736809e+12       4.282980599660e+13       1.461743466675e-08       1.436149863443e-06      -9.000000000000e-01       8.967079034632e+16       3.951880341044e+17       1.758412166736e+17       5.861176850981e+16       3.333221278752e-01      -1.324277274285e+01       5.692601541481e+01       1.758441722457e+17      -5.272676954138e+17       1.581009021092e+18       1.228858981886e-03       6.340952624296e-02 
       1.463013129747e+07       2.630756283066e-12       2.360243756993e-02       6.199307323711e+08       1.195665734519e+04       8.172624212877e-04       1.749274787956e+11       1.362671810585e-02       1.260584856033e+17       7.676394351685e+12       4.194282643681e+13       1.461743466675e-08       1.433147597175e-06      -9.000000000000e-01       8.720333860957e+16       3.843141129381e+17       1.710026695045e+17       5.699921729360e+16       3.333235525431e-01      -1.323346661141e+01       5.653033960121e+01       1.710051783164e+17      -5.127580011505e+17       1.537501789902e+18       1.229402537000e-03       6.338280542965e-02 
